row.names,asv.id,q2.id,Confidence,Domain,Phylum,Class,Order,Family,Genus,Species,ASV
ASV34,ASV34,033ee3b061dd81154c6445e66207f2f8,0.999999991,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,ASV34
ASV35,ASV35,03444e6114b3d238fa4d94bce9550371,0.856432359,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Blastopirellula,s__unidentified_marine,ASV35
ASV36,ASV36,0374437267a52453b5c2beb1d25b29c1,0.998738232,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Woeseiaceae,g__Woeseia,s__marine_metagenome,ASV36
ASV37,ASV37,037ddacb545e0ee327e0fb4a2f27cb3a,0.999999988,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ASV37
ASV38,ASV38,0388087d2e053707444a0bd0789c9e4d,0.986286017,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV38
ASV39,ASV39,03c1d2d2e635d5c4cf433adefbc5d764,0.726615506,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__uncultured,g__uncultured,s__uncultured_Alphaproteobacteria,ASV39
ASV40,ASV40,040c2fcb0c7f71f2cc3e180531461305,0.999999486,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Stappiaceae,g__Stappiaceae,s__uncultured_bacterium,ASV40
ASV41,ASV41,04238b2abe31bd4f211806552ac4d645,0.999583683,d__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__uncultured,s__freshwater_metagenome,ASV41
ASV42,ASV42,0427b6bfe1f783c832668f5bddf8ea9b,0.999999999,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Microcystaceae,g__Microcystis_PCC-7914,,ASV42
ASV43,ASV43,042ad33e48fc04cbcb654284ce15cc0b,0.755306326,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Actinomarinales,f__Actinomarinaceae,g__Candidatus_Actinomarina,s__uncultured_actinobacterium,ASV43
ASV44,ASV44,042f6fa9112901992f10ad4358d2915d,0.933550403,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__uncultured,,ASV44
ASV45,ASV45,044b9e2e9afe2e786a80fa3ad68785df,0.845362121,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__mle1-7,s__uncultured_bacterium,ASV45
ASV46,ASV46,04a768d267d44ea37fe5191cd9060a64,0.997833521,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Formosa,,ASV46
ASV47,ASV47,04e656e7882af3480bdfc5796d964d0c,0.940870496,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ga0077536,f__Ga0077536,g__Ga0077536,s__metagenome,ASV47
ASV48,ASV48,0532256617bea7edb0659e06b89c200e,0.999971323,d__Bacteria,p__Bacteroidota,c__Rhodothermia,o__Rhodothermales,f__Rhodothermaceae,g__uncultured,,ASV48
ASV49,ASV49,055433c030601fb16c6f890a2ed51854,0.999940561,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Rhodopirellula,,ASV49
ASV50,ASV50,055afb4ce1a4f35bab44e00e8d380db4,0.99999997,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,,ASV50
ASV51,ASV51,0571b2cc6aa5fb57047377c5472501d0,0.750897375,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__Pelagicoccus,s__uncultured_marine,ASV51
ASV52,ASV52,057a314380d67763fbe0e7e022cca179,0.778783305,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__Sporichthyaceae,s__metagenome,ASV52
ASV53,ASV53,057cee316f267dbf9e6b03fdee6d917b,0.880142774,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Opitutales,f__Puniceicoccaceae,g__Coraliomargarita,s__uncultured_organism,ASV53
ASV54,ASV54,057d613bcea28e2948e34765c4ceffff,0.998274112,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__SH3-11,s__bacterium_SH3-11,ASV54
ASV55,ASV55,05aeaed14d7f1c185cbd25f39c1031de,0.828020713,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,,ASV55
ASV56,ASV56,0620cca49d2c70e882c97496a95988b6,0.720597924,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Ferruginibacter,s__uncultured_Ferruginibacter,ASV56
ASV57,ASV57,0654ad9df75d263fdbdbd24e58aa3017,0.999999283,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__PeM15,g__PeM15,,ASV57
ASV58,ASV58,066cdd691816b6c0dd64326da6113977,0.999998578,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,,,ASV58
ASV59,ASV59,0684f7797f2216a0f6283e34a9414f73,0.785058943,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__S25-593,g__S25-593,s__metagenome,ASV59
ASV60,ASV60,06aeb4f7128093c977d64674de693ae4,0.999940092,d__Bacteria,p__Chloroflexi,c__Dehalococcoidia,o__SAR202_clade,f__SAR202_clade,g__SAR202_clade,s__metagenome,ASV60
ASV61,ASV61,06f83b462e0dce12825c989a9beb4019,0.999999116,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,,ASV61
ASV62,ASV62,0714a70b90472f41d294e9f18751b745,0.761020083,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__uncultured,g__uncultured,s__metagenome,ASV62
ASV63,ASV63,071aeb6817d85e26b616f47c52809129,0.839884043,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,ASV63
ASV64,ASV64,071c0c07886c6854264ea6e7f2625a04,0.98425387,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Cryomorphaceae,g__uncultured,s__uncultured_Owenweeksia,ASV64
ASV65,ASV65,0732427a8c719daa255d8272fa67da93,0.828930286,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Synechococcus_CC9902,,ASV65
ASV66,ASV66,073e2f79e3ddcd8923e48436bc1bd2b3,0.997839986,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__marine_metagenome,ASV66
ASV67,ASV67,07458ec4015342ace721d598c40439c1,0.999999974,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,,ASV67
ASV68,ASV68,074b9d9ac738278aef7351ff6b15e8f6,0.950240556,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,s__bacterium_enrichment,ASV68
ASV69,ASV69,0751a75e2c1eea9767b796190d335806,0.875870325,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnohabitans,,ASV69
ASV70,ASV70,076c2856d5512f6f34d414c4b10e739f,0.931711297,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,g__Luminiphilus,s__uncultured_gamma,ASV70
ASV71,ASV71,07833ca3f36276ab61696d496118d219,0.992015088,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS4_marine_group,s__unidentified_marine,ASV71
ASV72,ASV72,07975b551a94e85ee12711449973e6bc,0.971638444,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Thiotrichales,f__Thiotrichaceae,g__uncultured,s__uncultured_marine,ASV72
ASV73,ASV73,079d99646a6ace26f4a6602043f5eda1,0.997506403,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS4_marine_group,s__unidentified_marine,ASV73
ASV74,ASV74,079f620de49c1f702b6f2b6d821be4d9,0.999999963,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ASV74
ASV75,ASV75,07b23f7841887e43dc5b9b024bc45998,0.302035341,Unassigned,,,,,,,ASV75
ASV76,ASV76,07cfe51571fee729247aa68fd9696522,0.752537151,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS4_marine_group,s__uncultured_Flavobacterium,ASV76
ASV77,ASV77,07eb9d7e6a742a2991758b72266bdb9f,0.990155383,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ga0077536,f__Ga0077536,g__Ga0077536,s__uncultured_bacterium,ASV77
ASV78,ASV78,07f50c086f05ad0de320de4a642112fa,0.99995191,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__SAR86_clade,g__SAR86_clade,s__marine_metagenome,ASV78
ASV79,ASV79,087e097c4d1251af084ae2fa3e25b35a,0.998210242,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV79
ASV80,ASV80,08802f571b57b1f3981b3b749ed49bb0,0.88908941,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__mle1-7,s__uncultured_bacterium,ASV80
ASV81,ASV81,08915e18c2d45924d5c619e9b71e21c0,0.999978134,d__Bacteria,p__Bdellovibrionota,c__Bdellovibrionia,o__Bdellovibrionales,f__Bdellovibrionaceae,g__OM27_clade,,ASV81
ASV82,ASV82,08a57e02c52c7f3b8e876b6276135a7c,0.999971856,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Halieaceae,,,ASV82
ASV83,ASV83,08e485f103a24d4d3bf1ba1e36efa9bf,1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Parvibaculales,f__OCS116_clade,g__OCS116_clade,,ASV83
ASV84,ASV84,0908e32c78601c1000de8d513414d4e5,0.787420074,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__marine_metagenome,ASV84
ASV85,ASV85,091bec4c5b8c001f020927b7297961fc,0.937444449,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,s__uncultured_Bacteroidetes/Chlorobi,ASV85
ASV86,ASV86,09447dc8c669e4263547c44bab8e61a0,0.790249656,d__Bacteria,p__Planctomycetota,c__OM190,o__OM190,f__OM190,g__OM190,s__uncultured_bacterium,ASV86
ASV87,ASV87,0988dc3b700fbd5209aa7b50d6a018c6,0.999999999,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,,ASV87
ASV88,ASV88,09a5094750b9a69df6534bc5a059e7da,0.984009347,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__uncultured,s__marine_metagenome,ASV88
ASV89,ASV89,09b80851c309cb05ed606bfe38f94bf7,0.999999649,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_bacterium,ASV89
ASV90,ASV90,09b94ac47f98bebf5bf2e70303637b51,0.713132317,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__OM43_clade,s__Methylophilales_bacterium,ASV90
ASV91,ASV91,09d3c4292d03c5a6ae91c10355d932df,0.998756497,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV91
ASV92,ASV92,09e43941e12a10b422cceb500381c210,0.999999648,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_bacterium,ASV92
ASV93,ASV93,09e627cd39fdc929f2e132f3f81226a4,0.844815133,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__Candidatus_Puniceispirillum,,ASV93
ASV94,ASV94,09eec821b13434693656422c5f10a0a1,0.933092697,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__uncultured,g__uncultured,s__uncultured_bacterium,ASV94
ASV95,ASV95,0a308dfe00e3e1058e22c5d8965167a0,0.999282885,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__Marine_group,ASV95
ASV96,ASV96,0a3346e456dac1f7ea29bd56929a7d5e,0.990576178,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Ga0077536,f__Ga0077536,g__Ga0077536,s__uncultured_bacterium,ASV96
ASV97,ASV97,0a3a1368095378f9316dc8b137249c75,0.974114044,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__env.OPS_17,g__env.OPS_17,s__uncultured_bacterium,ASV97
ASV98,ASV98,0a51e4505890efd8c48d2f9375eb7117,0.99999984,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_bacterium,ASV98
ASV99,ASV99,0a67fe1e87eeb7142a054e8a04cbdd70,0.947216125,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,,ASV99
ASV100,ASV100,0a8862e9753d4bde168bce5a066dbe42,0.994837819,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__marine_metagenome,ASV100
ASV101,ASV101,0aadbdea522910e11233d1acf528454e,0.943122518,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Methylophilaceae,g__uncultured,,ASV101
ASV102,ASV102,0ac8d4606711ae8df5fe57a813dc00e7,0.84926835,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,f__uncultured,g__uncultured,s__unidentified_marine,ASV102
ASV103,ASV103,0ae1696d688508676ae730cec57dff6e,0.788069078,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__uncultured,f__uncultured,g__uncultured,s__uncultured_Thioalkalivibrio,ASV103
ASV104,ASV104,0af961ad0b0b9b889a0193ffce18bee5,1,d__Bacteria,p__Marinimicrobia_(SAR406_clade),c__Marinimicrobia_(SAR406_clade),o__Marinimicrobia_(SAR406_clade),f__Marinimicrobia_(SAR406_clade),g__Marinimicrobia_(SAR406_clade),,ASV104
ASV105,ASV105,0afbc99354829c8903bc7e52760e1bc5,0.999999089,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,,ASV105
ASV106,ASV106,0b30b38af4c813192b265a84fe165d6b,0.999999749,d__Archaea,p__Nanoarchaeota,c__Nanoarchaeia,o__Woesearchaeales,f__Woesearchaeales,g__Woesearchaeales,s__marine_metagenome,ASV106
ASV107,ASV107,0b622bcf3e66fda8b0b81687f9e819f6,0.998744767,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_III,g__Clade_III,s__Candidatus_Fonsibacter,ASV107
ASV108,ASV108,0b6d1c45e3b9cc4b9dbbe2ac1c6dcc6a,0.891200774,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,s__marine_metagenome,ASV108
ASV109,ASV109,0b76e3b77a960f2f00bebd3d243c91d8,0.910039801,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,g__Clade_Ib,,ASV109
ASV110,ASV110,0b7760d8901a0c84b7624a8be2aa14f7,0.99791698,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__CL500-3,s__uncultured_marine,ASV110
ASV111,ASV111,0bdede9243f009d7637ff9c018683eca,0.796490561,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_II,g__Clade_II,s__unidentified_marine,ASV111
ASV112,ASV112,0c0ffae7ba5c472ddf45c5ea0a41dd5b,0.918052293,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__alpha_proteobacterium,ASV112
ASV113,ASV113,0c72a812a9bc3529901a4d6e8dfdc90b,0.991175189,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,s__uncultured_Rhodospirillales,ASV113
ASV114,ASV114,0c73758f4525365c17ed057027115716,0.999963461,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__NS9_marine_group,g__NS9_marine_group,,ASV114
ASV115,ASV115,0c8b8837d4712047898b8d449e5cfc9c,0.997375684,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SAR11_clade,f__Clade_I,g__Clade_Ia,,ASV115
ASV116,ASV116,0ce70bcee0544db0a6ee4f1e91c698ba,0.981154484,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__NS5_marine_group,s__marine_metagenome,ASV116
ASV117,ASV117,0d2adc45e67081ed8df98d1329c7ff77,0.907995411,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Aquibacter,s__uncultured_bacterium,ASV117
ASV118,ASV118,0d32f4960e3bc9244965922c72d13052,0.876418835,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Nitrosomonadaceae,g__mle1-7,s__uncultured_bacterium,ASV118
ASV119,ASV119,0d4b127067e02c9e834d8fc70aa3dcd4,0.881887038,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_bacterium,ASV119
ASV120,ASV120,0d93ca73d5658ef09e1c28c759db958e,0.999988906,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__Sva0996_marine_group,,ASV120
ASV121,ASV121,0d9a56c02ce4bf2c07817056ecc9b4bf,0.970343925,d__Archaea,p__Thermoplasmatota,c__Thermoplasmata,o__Marine_Group_II,f__Marine_Group_II,g__Marine_Group_II,s__uncultured_bacterium,ASV121
ASV122,ASV122,0dbe8fca883856bf31aad8b0f804656b,0.999999879,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,f__Crocinitomicaceae,,,ASV122
ASV123,ASV123,0dc9e210d65a1e99942a50d53e3e53ee,0.999060116,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,,,ASV123
ASV124,ASV124,0e2717446128a13d690dcb624931fac6,0.999360125,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Puniceispirillales,f__SAR116_clade,g__SAR116_clade,s__alpha_proteobacterium,ASV124
ASV125,ASV125,0e67f78a79aa4a888884143da5e9b8ca,0.841726392,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_marine,ASV125
